# Gostakian,Translation,Category

abvate,reveal,none
bal,yes,none
banch,eye,none
beckle,shudder,none
bewl,bewl,object
bewly,common,none
blide,fully-charged,none
boltep,peel,none
bommly,negative,none
brangy,ground,none
brenze,brenze,unknown
brimny,brimny,unknown
brolge,hint,none

calbice,shell,none
camling,minute,none
chalm,sign,none
chender,receptacle,none
chuld,chuld,unknown
clarby,clarby,unknown
cobbic,cobbic,creature
contail,gather,guess
coyd,selector,none
cren,stick,none
curple,entryway,none

da,no,none
dape,verb,none
darf,food,none
darftunder,food-creater,none
dass,bad,none
deave,exist,none
dedge,command,none
deek,wing,none
degomb,exit,none
delcot,delcot,object
disbosh,response,none
discren,unstick,none
disengope,shrink,none
dislello,open,none
disgask,discharge,vague
disnarb,unfurl,none
disrask,drop,none
distim,brighten,none
distunk,ignore,none
doatch,speak,none
dobbly,fancy,guess
dorl,dorl,object
dosh,dosh,creature
doshery,doshery,object
drague,drague,object
droke,droke,creature
dugrid,compartment,none
dunmile,crazed,guess
durch,use,vague
durl,strong,none
duscat,duscat,creature

engope,enlarge,none

fack,fack,unknown
falliger,falliger,unknown
fargish,give,none
fesh,purpose,none
feshary,library,none
fetticle,comma,none
flome,sound,none
foll,foll,unknown
footch,footch,object
fosk,canopy,vague
fosken,away,vague
fostin,fostin,object
frike,fly,none

gamda,gamda,creature
gask,charge,vague
geln,geln,unknown
gemmly,positive,none
gharmy,upset,guess
gheliper,gheliper,creature
gitch,gitch,creature
glake,attack,none
glaud,ward,vague
gnurr,succeed,none
goave,tooth,none
gomb,enter,none
gomway,path,none
gope,large,none
gopest,largest,none
gostak,gostak,creature
gropple,berry,guess
gurr,near,none

halpock,game,none
heam,use,none
heamy,useful,none
hoggam,nest,vague
hosh,hosh,unknown

interofgan,interactive,none

jallon,menu,none
jenth,jenth,object
juffet,juffet,object
jurmy,pleasant,guess

koldgeon,koldgeon,object
koshle,koshle,object

leil,eat,none
lello,close,none
loddle,loddle,unknown
loddle-deeked,loddle-winged,unknown
lonn,lonn,object
louk,type,none
lurpid,common,guess
lutt,exit,none

malk,bite,none
martle,precious,guess
mavrous,massive,none
milm,inventory,none
misdeave,scheme,none
mislouk,mistype,none
morleon,morleon,object
mosky,quiet,none
mosteg,mosteg,object
motch,cover,none
murgous,powerful,none
murr,simple,guess
musny,message,none

naft,group,none
nayfe,measure,vague
nurl,whine,none

osta,previous,none

paided,paided,unknown
palgic,palgic,unknown
pank,pank,creature
pashual,record,none
pell,move,none
pilter,pilter,creature
plave,animal,vague
plazzy,next,none
pob,drop,none
pod,clear,guess
pogrifon,pogrifon,object
poskot,poskot,object
poltive,alive,none
potchner,potchner,unknown

rask,hold,none
reb,detect,none
reeg,reeg,object
reggle,unlock,none
regomb,reenter,none
relouk,retype,none
renze,defense,guess
rike,set,none
roggle,lock,none
rorm,nice,none

samilen,samilen,object
scurm,awful,none
shamtag,shamtag,object
sharmy,stylish,guess
shebtak,shebtak,object
shinkod,important,vague
shoracle,attached,none
sindish,sindish,object
sitch,patch,none
skebbic,skebbic,unknown
sloagy,easy,none
smarch,laugh,none
smib,dissolve,vague
snave,good,none
snavest,best,none
skade,tone,none
skent,foiled,none
skobe,open,none
skunge,smell,none
statch,statch,unknown
stam,fond,none
stike,barrier,none
stin,weak,none
stottily,muffled,none
sweff,match,none

tandry,deadly,guess
tarshen,tarshen,unknown
tavid,hard,none
tavidlouk,hardtype,none
tendo,tendo,creature
thale,empty,none
tobrit,weapon,vague
tondam,tondam,object
tophth,darken,none
tund,create,none
tunk,examine,none
tunsel,pleasant,guess

uncren,unstick,none
unheamy,useless,none
ungope,small,none
unleilable,inedible,none
unzankable,unkillable,none

vold,frighten,none
vorl,protect,none

waint,waint,unknown
warb,warb,creature
wass,eager,guess
whomm,whomm,unknown

zank,kill,none
zoncha,rest,none

# DIRECTIONS
loff,north,none
jiloff,northeast,none
jirf,east,none
jihoff,southeast,none
hoff,south,none
kihoff,southwest,none
kirf,west,none
kiloff,northwest,none

# WORKAROUNDS (these are words that normally end in 'e' but get corrupted when the parser trims an '-ed' suffix)
abvat,reveal,none
deav,exist,none
drok,speak,none
flom,sound,none
frik,fly,none
glak,attack,none
glaud-with-roggler,ward-with-lock-er,vague
rik,set,vague
