# Gostakian,Translation,Category

abvate,reveal,none
bal,yes,none
banch,eye,none
beckle,shudder,none
blide,fully-charged,none
boltep,peel,none
bommly,negative,none
brangy,ground,none
brolge,hint,none
calbice,shell,none
camling,minute,none
chalm,sign,none
chender,receptacle,none
contail,live,guess
coyd,selector,none
cren,stick,none
curple,entryway,none

da,no,none
dape,verb,none
darf,food,vague
darftunder,food-creater,vague
dass,bad,none
deave,exist,none
dedge,command,none
degomb,exit,none
disbosh,response,none
discren,unstick,none
disengope,shrink,none
dislello,open,none
disgask,discharge,vague
disrask,drop,none
distim,brighten,none
distunk,ignore,none
doatch,speak,none
dobbly,fancy,none
dosh,dosh,creature
droke,droke,creature
dugrid,top,none
dunmile,sick,guess
durch,use,vague
durl,strong,none

engope,enlarge,none

falliger,falliger,unknown
fargish,give,none
fesh,purpose,none
feshary,library,none
flome,sound,none
fosk,canopy,vague
fosken,away,vague
fostin,fostin,object
frike,fly,none

gask,charge,vague
gemmly,positive,none
gharmy,upset,none
gheliper,gheliper,creature
gitch,gitch,creature
glake,attack,none
glaud,glaud,none
gnurr,succeed,none
goave,tooth,none
gomb,enter,none
gomway,path,none
gope,large,none
gopest,largest,none
gurr,near,none

halpock,game,none
heam,use,none
heamy,useful,none
hoggam,nest,vague

interofgan,interactive,none

jallon,menu,none
jenth,jenth,object

leil,eat,none
lello,close,none
louk,type,none
lurpid,common,guess
lutt,exit,none

malk,bite,none
mavrous,massive,none
mislouk,mistype,none
morleon,morleon,object
mosky,quiet,none
motch,cover,none
murgous,powerful,none
musny,message,none

naft,group,none
nurl,whine,none

osta,previous,none

pell,move,none
plave,animal,vague
plazzy,next,none
pob,drop,none
pod,clear,guess
poltive,alive,none

rask,hold,none
reb,detect,none
reggle,unlock,none
regomb,reenter,none
relouk,retype,none
rike,set,none
roggle,lock,none
rorm,nice,none

samilen,samilen,object
scurm,awful,none
shamtag,shamtag,object
shoracle,attached,none
smarch,laugh,none
smib,dissolve,vague
snave,good,none
snavest,best,none
skade,tone,none
skobe,open,none
skunge,smell,none
stam,fond,none
stike,barrier,none
stin,weak,none
sweff,match,none

tavid,hard,none
tavidlouk,hardtype,none
thale,empty,none
tophth,darken,none
tund,create,none
tunk,examine,none

uncren,unstick,none
unheamy,useless,none
ungope,small,none
unleilable,inedible,none
unzankable,unkillable,none

vold,frighten,none
vorl,protect,none

waint,waint,unknown
warb,warb,creature

zank,kill,none
zoncha,rest,none

# DIRECTIONS
loff,north,none
jiloff,northeast,none
jirf,east,none
jihoff,southeast,none
hoff,south,none
kihoff,southwest,none
kirf,west,none
kiloff,northwest,none

# WORKAROUNDS (these are words that normally end in 'e' but get corrupted when the parser trims an '-ed' suffix)
abvat,reveal,none
deav,exist,none
drok,speak,none
flom,sound,none
frik,fly,none
glak,attack,none
glaud-with-roggler,glaud-with-lock-er,none
rik,set,vague
